Time,Lux,Infrared,Visible,Full_Spectrum
1727427080.097769,88.180224,237,15532724,15532961
1727427084.108412,86.979072,236,15467180,15467416
1727427102.962369,91.183104,252,16515792,16516044
1727427106.973063,94.19904,270,17695470,17695740
1727427110.977944,91.13740800000001,254,16646865,16647119
